"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",303,2977558316,9826925,51.77010477623581
"hsa_amd_memory_lock",203,1787119963,8803546,31.072233660397828
"hsa_amd_memory_unlock",203,703626059,3466138,12.233780477775833
"hsa_queue_create",32,235425064,7357033,4.093280109658823
"hsa_queue_destroy",32,36332647,1135395,0.6317071715709731
"hsa_system_get_info",9410,4040383,429,0.07024918710143643
"hsa_amd_memory_async_copy",203,1133693,5584,0.0197112530353159
"hsa_code_object_deserialize",1,879256,879256,0.01528741687460337
"hsa_signal_store_relaxed",204,815556,3997,0.01417987998556055
"hsa_signal_store_screlease",406,674966,1662,0.011735474785709212
"hsa_amd_memory_pool_free",5,575450,115090,0.010005213544736128
"hsa_amd_profiling_get_async_copy_time",203,564037,2778,0.009806778403218927
"hsa_amd_memory_pool_allocate",5,512278,102455,0.008906856867269676
"hsa_amd_agents_allow_access",2,369402,184701,0.00642270552411611
"hsa_amd_signal_async_handler",203,357167,1759,0.006209978462303882
"hsa_executable_destroy",1,228611,228611,0.003974805584630587
"hsa_executable_load_code_object",1,201158,201158,0.0034974867429525243
"hsa_executable_freeze",1,154328,154328,0.0026832645684803846
"hsa_signal_create",206,154119,748,0.0026796307347314056
"hsa_system_get_major_extension_table",6,145663,24277,0.0025326082553947323
"hsa_signal_load_relaxed",203,142403,701,0.0024759274036164026
"hsa_signal_destroy",205,122704,598,0.0021334255327018887
"hsa_agent_get_info",298,88870,298,0.0015451617477117035
"hsa_queue_add_write_index_relaxed",102,73325,718,0.0012748844959036868
"hsa_amd_memory_pool_get_info",220,55082,250,0.0009576977538815804
"hsa_queue_load_read_index_scacquire",102,44241,433,0.0007692078415721107
"hsa_amd_agent_iterate_memory_pools",60,42649,710,0.0007415281127282148
"hsa_isa_get_info_alt",12,36540,3045,0.0006353123693190688
"hsa_executable_symbol_get_info",37,8614,232,0.00014976958810384398
"hsa_executable_create",1,6452,6452,0.00011217940358091494
"hsa_iterate_agents",5,5109,1021,8.882897905996504e-05
"hsa_amd_profiling_async_copy_enable",1,2605,2605,4.529252112961615e-05
"hsa_agent_iterate_isas",1,2364,2364,4.1102310921463564e-05
"hsa_init",1,902,902,1.568286144296114e-05
"hsa_amd_register_system_event_handler",1,731,731,1.2709724739251212e-05
"hsa_executable_iterate_symbols",1,722,722,1.2553243860108584e-05
"hsa_dispatch",101,0,0,0.0
